ch1,ch2,ch3,ch4,t
-77.3504808335565,-271.9599149278365,-281.21242741821334,-362.8338740011677,0.435
-89.0601075948216,-279.53695223806426,-282.79814499942586,-356.0983141809702,0.44
-97.77781439153478,-276.9564212686382,-280.25127312960103,-358.3160748546943,0.445
-90.83656007377431,-262.61016503861174,-251.6223389687948,-347.47410488314927,0.45
-18.68267022864893,-228.7603305396624,-233.56610198272392,-310.01900682691485,0.455
-108.50758736440912,-272.5919580203481,-279.226540541742,-361.2780756196007,0.46
-95.27582132117823,-269.68979565473273,-267.27008038340136,-352.00312372948974,0.465
-86.5394150246866,-249.2849014964886,-229.04456293629482,-338.40110759064555,0.47
-77.50381673173979,-257.83057289524004,-248.12553251022473,-345.0992684112862,0.475
-83.34928036248311,-268.8969368641265,-283.5573446904309,-356.30400867853314,0.48
-78.8726201155223,-271.02120003895834,-272.79765251791105,-349.91999945417047,0.485
-32.09769136970863,-245.22711004456505,-252.6956902560778,-332.4172676615417,0.49
-79.75149660510942,-267.6552900788374,-261.4358364525251,-348.03882977645844,0.495
-92.25398215698078,-271.49616733333096,-274.8059787941165,-352.0106035294011,0.5
-68.59163513733074,-263.97148862248287,-274.8471176936291,-354.81552849616855,0.505
-84.53108874848112,-261.8509653476067,-246.19948403304443,-346.29603639710695,0.51
-82.0552749778144,-273.3997764107771,-273.4446552102454,-355.11098059266806,0.515
-77.44023843249306,-264.259460919071,-275.38566328724846,-344.4597455188632,0.52
-76.47908414388075,-259.4387298761867,-257.3219465012662,-341.17611335776746,0.525
-38.9641476883553,-239.30310851475224,-229.0520427362062,-324.46998025570065,0.53
-55.954513187054545,-255.6988299204968,-254.20286993822083,-341.84181554988027,0.535
-114.1847554971464,-282.5139126027934,-280.2587529295124,-358.40583245363086,0.54
-110.75526723777875,-298.113035317976,-298.1691338173114,-376.11799864377826,0.545
-65.07612917898223,-249.53547479351982,-243.51423586485907,-331.0896031772718,0.55
-40.75181986717507,-233.66707928152755,-228.78276993939653,-318.4487413270399,0.555
-92.44471705472097,-279.32377794058993,-277.7530199592002,-355.2904957905412,0.56
-99.15409757522866,-283.4077486922033,-285.7900649639778,-365.22367007285357,0.565
-157.84060767991468,-338.3730583409779,-362.6337893535383,-425.22288506198674,0.57
-174.93569037737325,-338.1000456442125,-357.16231571836397,-430.0548358047381,0.575
-152.81044223951176,-326.0313884872012,-338.5189144392498,-426.59168844576925,0.58
-136.25016523571685,-317.89336618361995,-327.81532076606527,-414.88580158445984,0.585
-113.01042691105977,-293.5952361715026,-311.0082103651948,-383.8857708517462,0.59
-137.40205442206934,-313.5476024351083,-325.9603303880431,-397.25217329338193,0.595
-131.8969216872938,-323.63785251555964,-334.52470128657296,-407.4508804725483,0.6
-151.55009595444426,-334.3975446880795,-355.27740614069626,-429.7219847086817,0.605
-158.99249686626717,-317.04440889367834,-316.0645551052876,-403.72594011668116,0.61
-147.17441300628707,-331.2223696256988,-358.5909575014375,-422.7283717915416,0.615
-106.9218697831966,-318.6488259746693,-357.5998840131797,-411.639568422921,0.62
-139.99380509136245,-331.4804227226414,-358.8116115988232,-425.47345835901797,0.625
-174.08299318747595,-332.46027651103213,-348.45582862151787,-420.6714268159121,0.63
-145.58495552511886,-328.20053046150133,-352.72305447096005,-416.306963567622,0.635
-107.04528648173437,-296.24682524008676,-314.44517842447385,-393.8488643337041,0.64
-117.61798365646973,-302.66075366409495,-320.5486951521598,-392.7119347471744,0.645
-153.00491703720763,-318.2486566794105,-340.3963442170061,-409.275951650925,0.65
-169.9541436363943,-357.3717501158826,-371.84516294440255,-442.2095106607303,0.655
-143.3821544512175,-314.1011076285504,-322.29896833142266,-404.7581525044516,0.66
-143.4532125503756,-320.4664173531346,-329.6216924446635,-413.76757149770856,0.665
-111.63414372736588,-311.26626346213743,-335.87106527062133,-403.17617482319474,0.67
-148.4571986910887,-331.1400918266736,-358.7854322991334,-419.76637102663517,0.675
-168.5816003526561,-341.60433190269396,-355.3821233394556,-429.7257246086374,0.68
-131.01804519770667,-308.29678289731964,-322.886132624466,-400.6367827532813,0.685
-129.0022391215898,-309.0634623882361,-325.34698679530993,-399.0809843717143,0.69
-149.59038837766275,-333.7019232963212,-338.1486643436365,-413.8685487965122,0.695
-160.99147339258343,-338.11874514399096,-327.98174631409347,-416.2901340178214,0.7
-170.1542282840237,-330.0592607394792,-319.3687567161396,-411.3534660763107,0.705
-142.04888011701405,-294.66110765887424,-287.12333929818124,-376.03759079473093,0.71
