frequency,Rmax,R_ratio,time
20.0,0.25718327880636976,0.8742596691218257,21:31:05
6.0,0.24804465705658565,0.9558139941628041,21:31:07
7.5,0.2748487950534342,0.7852204280880838,21:31:09
15.0,0.3362795902606648,0.9082181982120829,21:31:11
10.0,0.19583405386537792,0.9314503138861712,21:31:13
7.5,0.232071612073648,0.9802127755715091,21:31:15
12.0,0.2188550220779179,0.8874742705329778,21:31:17
20.0,0.3047230210832914,0.7814697511836587,21:31:19
15.0,0.3372463345398733,0.8967287720241384,21:31:21
7.5,0.33595459614206663,0.9707476840921806,21:31:23
7.5,0.27483136674809244,0.8343159965232493,21:31:25
6.666666666666667,0.2537827470786232,0.9020455300082232,21:31:27
12.0,0.31891624459034795,0.8642964214893228,21:31:29
30.0,0.2655906460209285,0.9788321212520354,21:31:31
7.5,0.24035536533071503,0.9349788768398333,21:31:33
10.0,0.32003787069713574,0.8850491374691027,21:31:35
7.5,0.26995918069316216,0.9130528142862463,21:31:37
6.666666666666667,0.2627063884606946,0.9467181770993203,21:31:39
15.0,0.23160561400663546,0.9645410928906878,21:31:41
15.0,0.3135985233908886,0.8209287887469975,21:31:43
7.5,0.24248303419403544,0.8712810856397776,21:31:45
8.571428571428571,0.21334646791204598,0.9754310682468754,21:31:47
10.0,0.25927560747266676,0.8047083544331413,21:31:49
12.0,0.23881759397024846,0.8829098761259703,21:31:51
6.666666666666667,0.3574383460701352,0.6989415493202602,21:31:53
12.0,0.5114809321257089,0.6010780143843559,21:31:55
12.0,0.3227501071064752,0.777258580046319,21:31:57
15.0,0.31676025821580583,0.8634766396267216,21:31:59
10.0,0.28094304066163933,0.9386001707816106,21:32:01
10.0,0.4468434456898357,0.6407091732189373,21:32:03
10.0,0.37737780527619663,0.7828896751772291,21:32:05
10.0,0.35435261287869285,0.7447209005894554,21:32:07
20.0,0.3075411568025382,0.7521697453516307,21:32:09
10.0,0.37570799810248584,0.8501532301275568,21:32:11
12.0,0.5033719147906681,0.5698727152273078,21:32:13
15.0,0.2636013218308964,0.9980564033746777,21:32:15
10.0,0.36074731524881065,0.9768203140492167,21:32:17
10.0,0.3418136561380126,0.9070621198821549,21:32:19
6.0,0.29734718450230213,0.9548265028332679,21:32:21
10.0,0.3320448245786918,0.7479499153718951,21:32:23
20.0,0.2538605907528249,0.9659151375018924,21:32:25
10.0,0.30523478699722867,0.7781350486149173,21:32:27
12.0,0.2766951601044519,0.7454883892763542,21:32:29
10.0,0.4055699870428009,0.8005274853513102,21:32:31
10.0,0.31952006771752917,0.8023310208447714,21:32:33
7.5,0.2991415702129268,0.9025089008890765,21:32:35
10.0,0.2849438145072426,0.9285693053361121,21:32:37
10.0,0.3474228957954699,0.785422692917977,21:32:39
10.0,0.26830268062833273,0.9486025972452814,21:32:41
6.0,0.2745794212450165,0.740134871895469,21:32:43
8.571428571428571,0.301469589625996,0.992327395911803,21:32:45
12.0,0.2930957559603161,0.9232396153769625,21:32:47
10.0,0.3468024792065731,0.6393158905146527,21:32:49
10.0,0.3382438423628555,0.8255683539574432,21:32:51
8.571428571428571,0.357568153785675,0.8876969495011531,21:32:53
6.666666666666667,0.25267798900559824,0.8522976472652664,21:32:55
7.5,0.26525047353074815,0.8995199304732444,21:32:57
20.0,0.3234584522380511,0.777165163653533,21:32:59
10.0,0.36036334930255315,0.7977987015151816,21:33:01
8.571428571428571,0.3012118840621319,0.9120774898586834,21:33:03
7.5,0.24048314856839367,0.9772463408742792,21:33:05
15.0,0.39342150151584165,0.8520993715314573,21:33:07
15.0,0.4712583924384485,0.5283057722656936,21:33:09
10.0,0.319964044676438,0.8525739495019314,21:33:11
8.571428571428571,0.28115679714870145,0.9030003483694022,21:33:13
20.0,0.3349977442354721,0.8247265696533937,21:33:15
15.0,0.34068880754144004,0.9422567448236016,21:33:17
15.0,0.336588953921941,0.7548574923589007,21:33:19
10.0,0.35389338262007236,0.776167012170364,21:33:21
15.0,0.277828941368992,0.8549699610897963,21:33:23
15.0,0.4961514347186674,0.5254358164915418,21:33:25
7.5,0.3164419009729581,0.9012477881682892,21:33:27
15.0,0.33050972734082035,0.7353822679314223,21:33:29
